id,id_str,url,date,user,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,hashtags,cashtags,mentionedUsers,links,viewCount,retweetedTweet,quotedTweet,place,coordinates,inReplyToTweetId,inReplyToUser,source,sourceUrl,sourceLabel,media
285026647151894528,285026647151894528,https://twitter.com/elonmusk/status/285026647151894528,2012-12-29 14:17:02+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Death Valley restored to position of world's hottest place http://t.co/3I26Y4aN,27,46,40,20,285026647151894528,[],[],[],"[{'url': 'http://www.nytimes.com/2012/12/29/science/earth/death-valley-temperature-record-is-restored.html?nl=todaysheadlines&emc=edit_th_20121229&_r=0', 'text': 'nytimes.com/2012/12/29/sci…', 'tcourl': 'http://t.co/3I26Y4aN'}]",,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
285026400078016512,285026400078016512,https://twitter.com/elonmusk/status/285026400078016512,2012-12-29 14:16:03+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",CA's Death Valley is #1 again! Tesla hot weather testing was done there. Model S was fine but gas tow truck overheated.,32,102,83,1,285026400078016512,[],[],[],[],,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
283694250980429824,283694250980429824,https://twitter.com/elonmusk/status/283694250980429824,2012-12-25 22:02:34+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",@TristanLaurent V cute! Merry Xmas.,9,4,12,4,283529317722488832,[],[],"[{'id': 361504139, 'username': 'TristanLaurent', 'displayname': 'Tristan Laurent', '_type': 'snscrape.modules.twitter.UserRef'}]",[],,,,,,283529317722488832,"{'id': 361504139, 'username': 'TristanLaurent', 'displayname': 'Tristan Laurent', '_type': 'snscrape.modules.twitter.UserRef'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
283040346538115075,283040346538115075,https://twitter.com/elonmusk/status/283040346538115075,2012-12-24 02:44:12+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Cowboy riding the rocket no problemo http://t.co/YZdNpwX3,35,145,192,2,283040346538115075,[],[],[],[],,,,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'photos': [{'url': 'https://pbs.twimg.com/media/A-2PshDCAAA86B1.jpg'}], 'videos': [], 'animated': []}"
283037363763032066,283037363763032066,https://twitter.com/elonmusk/status/283037363763032066,2012-12-24 02:32:20+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Single camera view of the 40 meter rocket hover http://t.co/Zlh7xC7T,26,186,112,0,283037363763032066,[],[],[],"[{'url': 'http://youtu.be/Zz-NYeH-CEY', 'text': 'youtu.be/Zz-NYeH-CEY', 'tcourl': 'http://t.co/Zlh7xC7T'}]",,,,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'photos': [], 'videos': [], 'animated': []}"
283034463372464129,283034463372464129,https://twitter.com/elonmusk/status/283034463372464129,2012-12-24 02:20:49+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Then we took him for a ride: 40 meter hover flight vid of the SpaceX Grasshopper test rocket http://t.co/2563ykr2,39,284,142,0,283034463372464129,[],[],[],"[{'url': 'http://youtu.be/B4PEXLODw9c', 'text': 'youtu.be/B4PEXLODw9c', 'tcourl': 'http://t.co/2563ykr2'}]",,,,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'photos': [], 'videos': [], 'animated': []}"
283032287602413568,283032287602413568,https://twitter.com/elonmusk/status/283032287602413568,2012-12-24 02:12:11+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}","To provide a little perspective on the size of Grasshopper, we added a 6 ft cowboy to the rocket http://t.co/3NMYJqmd",35,209,1315,26,283032287602413568,[],[],[],[],,,,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'photos': [{'url': 'https://pbs.twimg.com/media/A-2IXbMCEAAwU3H.jpg'}], 'videos': [], 'animated': []}"
281541900916371457,281541900916371457,https://twitter.com/elonmusk/status/281541900916371457,2012-12-19 23:29:54+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Very much agree with this great review of Chasing Ice on Ars Technica http://t.co/bzMQQyAk,10,48,36,4,281541900916371457,[],[],[],"[{'url': 'http://arstechnica.com/science/2012/12/glacier-documentary-chasing-ice-is-stunning-somber/', 'text': 'arstechnica.com/science/2012/1…', 'tcourl': 'http://t.co/bzMQQyAk'}]",,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
281207435140685824,281207435140685824,https://twitter.com/elonmusk/status/281207435140685824,2012-12-19 01:20:51+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}","Thanks! “@ev: Have driven a Tesla Model S 50 miles now. It's clearly the iPhone of cars—by far the best car ever made.""",26,83,90,5,281207435140685824,[],[],"[{'id': 20, 'username': 'ev', 'displayname': 'Ev', '_type': 'snscrape.modules.twitter.UserRef'}]",[],,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
279598935641833474,279598935641833474,https://twitter.com/elonmusk/status/279598935641833474,2012-12-14 14:49:15+00:00,"{'id': 44196397, 'id_str': '44196397', 'url': 'https://twitter.com/elonmusk', 'username': 'elonmusk', 'displayname': 'Elon Musk', 'rawDescription': '', 'created': datetime.datetime(2009, 6, 2, 20, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 158433688, 'friendsCount': 453, 'statusesCount': 31489, 'favouritesCount': 33539, 'listedCount': 127728, 'mediaCount': 1726, 'location': '𝕏Ð', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/44196397/1690621312', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [], '_type': 'snscrape.modules.twitter.User'}",Good piece on volcanoes “@DanRetz: The USGS would seem to disagree. http://t.co/evnCgdC4”,9,16,28,0,279598935641833474,[],[],"[{'id': 3023425135, 'username': 'danretz', 'displayname': 'Dan Retz', '_type': 'snscrape.modules.twitter.UserRef'}]","[{'url': 'http://volcanoes.usgs.gov/hazards/gas/climate.php', 'text': 'volcanoes.usgs.gov/hazards/gas/cl…', 'tcourl': 'http://t.co/evnCgdC4'}]",,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}"
